Year,Make,Model,Condition,Price,ConsumerRating,ConsumerReviews,SellerType,SellerRating,SellerReviews,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,ExteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock#,Mileage
2017,Honda,Civic EX,Used,22004,4.8,743,Dealer,4.2,380,60642,Good,4.7,4.7,4.8,4.8,4.8,4.8,Modern Steel Metallic,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H54HU218886,K1812,35257
2017,Tesla,Model S 75,Used,47000,4.6,37,Private,4.2,380,37066,Good,4.7,4.4,4.9,4.1,4.7,4.5,Silver,Rear-wheel Drive,0,0,Electric Fuel System,A/T,382.0HP Electric Motor Electric Fuel System,5YJSA1E17HF196111,???,84000
2021,Honda,Pilot Special Edition,Honda Certified,43296,4.8,63,Dealer,4.8,959,46219,Good,4.9,4.7,4.8,4.7,4.7,4.8,Steel Sapphire Metallic,All-wheel Drive,19,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF6H29MB101863,2CR3252A,10563
2015,Jeep,Grand Cherokee SRT,Used,52884,4.8,296,Dealer,4.9,223,46805,Fair,4.9,4.8,4.8,4.6,4.9,4.7,Redline 2 Coat Pearl,Four-wheel Drive,13,19,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,1C4RJFDJXFC213281,Z11047A,49870
2011,Ford,Explorer Limited,Used,12290,4.3,112,Dealer,4.2,34,46706,Great,4.6,4.5,4.2,4,4.6,4.1,White,Front-wheel Drive,17,25,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FMHK7F86BGA15028,5028,117401
2017,BMW,M240 i,Used,33900,4.7,20,Dealer,4.3,1245,30062,Great,4.5,4.4,4.9,4.5,4.8,4.8,Alpine White,Rear-wheel Drive,21,32,Gasoline,8-SPEED A/T,Straight 6 Cylinder Engine,WBA2G1C37HV639150,HV639150,60733
2020,Volvo,XC60 T5 Inscription,Used,41389,4.9,39,Dealer,4,25,37923,Fair,4.9,4.9,4.9,4.9,4.9,4.9,Onyx Black Metallic,Front-wheel Drive,22,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,YV4102DL4L1571569,PL1571569,36577
2018,Honda,Civic EX,Used,23739,4.8,546,Dealer,4.8,2398,44129,Good,4.7,4.7,4.8,4.8,4.9,4.8,Crystal Black Pearl,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H51JU419408,419408K01,32333
2020,BMW,X1 xDrive28i,Used,32893,4.8,13,Dealer,4.6,2411,44146,Good,4.7,4.9,5,4.7,4.8,4.9,Alpine White,All-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXJG9C08L5P94224,P94224C01,39879
2020,BMW,X1 xDrive28i,Used,30693,4.8,13,Dealer,4.6,2411,44146,Good,4.7,4.9,5,4.7,4.8,4.9,Jet Black,All-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXJG9C07L5P88611,P88611C01,50199
2019,Acura,ILX Premium & A-SPEC Packages,Used,23995,4.7,24,Dealer,3.7,7,29708,Great,4.7,4.6,4.6,4.6,4.8,4.6,White,Front-wheel Drive,24,34,Gasoline,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,19UDE2F87KA000944,944,14940
2021,Chrysler,300 S,Used,30000,5,3,Dealer,4.8,1047,32225,Great,5,5,5,5,5,5,Gloss Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CCABG7MH554324,8630,19229
2017,Land,Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,Used,53000,4.8,38,Private,3.6,67,20152,Great,4.9,4.8,4.9,4.6,4.9,4.7,White,Four-wheel Drive,17,23,Gasoline Fuel,8-Speed A/T,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,SALWV2FV0HA134046,???,55000
2019,BMW,Z4 sDrive30i,Used,46500,5,2,Dealer,4.5,1031,20166,Good,5,5,5,5,5,5,Metallic,Rear-wheel Drive,25,32,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBAHF3C57KWW34090,KWW34090P,23504
2019,Honda,Civic Sport,Used,25500,4.9,275,Dealer,3.6,14,20166,Good,4.8,4.8,4.9,4.8,4.9,4.9,White Orchid Pearl,Front-wheel Drive,30,36,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H40KU411065,S411065,30509
2016,Land,Rover Range Rover,Used,51000,4.8,29,Dealer,4.6,1129,22408,Good,5,4.9,5,4.5,4.9,4.7,Santorini Black,Four-wheel Drive,14,19,Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,SALGS2EF3GA304115,C4115,54449
2011,Ford,F-150 Lariat,Used,18973,4.5,262,Dealer,4.5,68,22554,Good,4.7,4.5,4.5,4.4,4.6,4.5,Red,Four-wheel Drive,14,19,E85 Flex Fuel,6-Speed Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,1FTFW1EF6BFB22132,PB22132,110111
2018,Mazda,CX-5 Grand Touring,Used,25549,4.8,270,Dealer,3.3,125,22030,Good,4.8,4.8,4.7,4.8,4.8,4.8,Jet Black Mica,Front-wheel Drive,25,31,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFADMXJ1369395,PH0041,66601
2018,Kia,Sportage LX,Used,18500,4.8,356,Dealer,3.9,467,22191,Good,4.9,4.9,4.8,4.8,4.9,4.9,Black Cherry,Front-wheel Drive,23,30,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,KNDPM3AC8J7352409,0230058A,79336
2017,Volkswagen,Tiguan Sport,Used,20000,4.8,94,Dealer,4.7,336,17050,Fair,4.8,4.7,4.8,4.7,4.7,4.8,Reflex Silver Metallic,All-wheel Drive,20,24,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,WVGUV7AX9HK017771,HK017771,87957
2017,Chrysler,300 S,Used,33558,4.7,68,Dealer,4.9,268,17042,NA,4.8,4.7,4.8,4.6,4.7,4.7,Granite Crystal Clearcoat Metallic,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,2C3CCABT6HH596941,T1613,27054
2020,Tesla,Model X Performance,Used,122222,4.2,5,Private,4.9,268,33020,NA,4.2,4,4.8,3.8,4.2,4.4,White,All-wheel Drive,80,77,Electric Fuel System,1-Speed A/T,Electric Motor Electric Fuel System,5YJXCAE47LF229238,???,29918
2019,Subaru,Impreza 2.0i Premium,Used,4750,4.6,90,Dealer,3.5,63,33142,NA,4.7,4.6,4.4,4.5,4.6,4.6,Ice Silver Metallic,All-wheel Drive,28,36,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,4S3GTAD61K3727773,727773,67792
2019,Jeep,Cherokee Latitude Plus,Used,27500,4.6,568,Dealer,4.7,1801,18702,Great,4.8,4.7,4.5,4.5,4.7,4.6,Diamond Black,Four-wheel Drive,21,29,Gasoline,9-Speed Automatic,2.4L I4 16V MPFI SOHC,1C4PJMLB9KD402160,J13480A,21870
2019,Jeep,Cherokee Latitude Plus,Used,21795,4.6,568,Dealer,4,14,18235,Great,4.8,4.7,4.5,4.5,4.7,4.6,Granite Crystal Metallic Clearcoat,Front-wheel Drive,22,31,Gasoline,9-SPEED A/T,4 Cylinder Engine,1C4PJLLB4KD316538,223501B,74832
2018,BMW,320 i xDrive,Used,25950,4.9,50,Dealer,4.9,95,19342,Fair,4.9,4.8,4.9,4.8,4.8,5,Black Sapphire,All-wheel Drive,23,34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA8A3C55JA505632,F08304,55001
2016,Porsche,Cayenne Base,Used,44998,4.8,39,Dealer,5,3,19406,Good,4.9,4.8,4.9,4.5,4.9,4.9,Black,All-wheel Drive,19,24,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,WP1AA2A29GKA37624,21403694,37979
2016,Nissan,Rogue SV,Used,19949,4.5,317,Dealer,4.7,516,19440,Good,4.6,4.5,4.4,4.4,4.6,4.6,Pearl White,All-wheel Drive,25,32,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,KNMAT2MV5GP675373,B63859A1,60122
2014,Mercedes-Benz,E-Class E 350 4MATIC,Used,14500,4.8,176,Dealer,4.4,7,8021,NA,4.9,4.8,4.8,4.6,4.9,4.8,Black,All-wheel Drive,21,30,Gasoline,driver adaptive 7 speed automatic,V6 Cylinder Engine,WDDHF8JB1EA775902,62,92378
2012,BMW,X5 xDrive35i Premium,Used,12499,4.5,87,Dealer,3.7,54,19067,NA,4.6,4.7,4.7,4.2,4.7,4.1,Black,All-wheel Drive,16,23,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXZV4C51CL989967,989967,75012
2020,Hyundai,Santa Fe SEL 2.4,Used,30187,4.8,202,Dealer,4.7,1643,8902,Good,4.9,4.8,4.7,4.8,4.9,4.9,Portofino Gray,All-wheel Drive,21,27,Gasoline,8-Speed Automatic,2.4L I4 16V GDI DOHC,5NMS3CADXLH233522,BTP9892,42185
2020,Hyundai,Santa Fe SEL 2.4,Used,28959,4.8,202,Dealer,4.1,365,7001,Great,4.9,4.8,4.7,4.8,4.9,4.9,Machine Gray,All-wheel Drive,21,27,Gasoline,8-Speed Automatic,2.4L I4 16V GDI DOHC,5NMS3CAD1LH177728,H77728UD,27088
2019,Mercedes-Benz,AMG E 63 S 4MATIC,Mercedes-Benz Certified,106999,5,2,Dealer,4.7,738,7728,Fair,5,5,5,4.5,5,5,Gray Metallic,All-wheel Drive,15,23,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WDDZF8KB9KA505055,P3020,15113
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,71458,4.6,14,Dealer,4.9,2448,7044,Great,5,4.8,4.4,4.4,4.7,4.3,Black,All-wheel Drive,17,27,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WDDUG8GB9KA444046,MAJ1498,18022
2020,Hyundai,Santa Fe SEL 2.4,Used,30716,4.8,202,Dealer,4.9,4458,8753,Good,4.9,4.8,4.7,4.8,4.9,4.9,Symphony Silver,All-wheel Drive,21,27,Gasoline,8-Speed Automatic,2.4L I4 16V GDI DOHC,5NMS3CAD1LH162677,LH16267A,26693
2020,Hyundai,Elantra SE,Used,17995,4.8,134,Dealer,4.4,895,7305,Great,4.8,4.7,4.7,4.7,4.8,4.8,Quartz White Pearl,Front-wheel Drive,30,40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,5NPD74LF2LH505842,STK505842,21368
